SpanName,AvgDuration,SuccRate,P90,P95,P99
GET /api/v1/assuranceservice/assurances/types,3.0502084634146343,1.0,2.79281,3.53849,25.44007560000005
GET /api/v1/cancelservice/cancel/<id>/<id>,47.374863500000004,1.0,53.017256700000004,53.72255585,54.28679517
GET /api/v1/cancelservice/cancel/refound/<id>,13.6679625,1.0,14.9790141,15.14289555,15.274000710000001
GET /api/v1/consignservice/consigns/account/<id>,304.3947218,1.0,620.0231784,693.2328957999999,829.9588679599993
GET /api/v1/consignservice/consigns/order/<id>,19.626092210526316,1.0,10.885481599999999,31.763065599999578,174.03012352000007
GET /api/v1/contactservice/contacts/account/<id>,4.271518134751773,1.0,5.01844,5.421775,6.160754
GET /api/v1/foodservice/foods/<date>/<location>/<location>/<train>,16.358418312056738,1.0,25.555605,26.852401,37.221482999999985
GET /api/v1/routeservice/routes,16.987720388157896,1.0,12.761883300000001,13.670471599999999,195.6131589500023
GET /api/v1/trainservice/trains,5.524124344827586,1.0,5.996501,6.373474199999999,13.170920039999995
GET /api/v1/userservice/users/id/<id>,4.410070307692308,1.0,5.518446600000001,5.7235118,6.807635999999988
GET /api/v1/verifycode/verify/<code>,3.5032814725274726,1.0,3.435853,3.631735,5.311443999999988
POST /api/v1/inside_pay_service/inside_payment,230.84604376666667,1.0,413.9023318,447.5912796499999,508.42585965
POST /api/v1/orderOtherService/orderOther/refresh,5.889549564705883,1.0,6.764598400000001,7.0262421999999995,7.5049070399999955
POST /api/v1/orderservice/order/refresh,7112.586896523255,1.0,9475.9188345,10471.6314575,17322.20639545021
POST /api/v1/preserveservice/preserve,10742.425492146342,1.0,14445.150054,15620.079519,15954.0486904
POST /api/v1/travel2service/trips/left,73.14138492592593,1.0,93.29543460000001,97.7180498,101.47774432
POST /api/v1/travelplanservice/travelPlan/cheapest,466.3780919393939,1.0,1075.791481,1152.3507605999998,1261.01514668
POST /api/v1/travelplanservice/travelPlan/minStation,391.968092,1.0,925.4284633,1004.0845085499998,1087.40481918
POST /api/v1/travelplanservice/travelPlan/quickest,450.585848,1.0,887.729749,1168.139062,1249.3166307
POST /api/v1/travelservice/trips/left,327.8596118387097,1.0,632.317607,641.2896345,999.4415041999996
POST /api/v1/users/login,87.19861086080587,1.0,88.8505468,90.0301034,97.54943291999999
PUT /api/v1/consignservice/consigns,117.77227984615385,1.0,309.3696822000003,614.7536393999992,894.4140166799995
